batch-2-learning-45-regular-1,15370.0,0.993,0.9642,0.9153,16200.0,1.927,48.2,1.0537,0.05347,261.2,0.01601,1.0,0.031018,1.9118e-06,2.106,52.67,0.2949,2100.0,0.016256,0.911180541281
batch-2-learning-45-regular-1,14130.0,1.0062,1.193,0.8404,20050.0,2.386,59.65,1.422,0.7964,36.24,0.001808,0.9944,0.1979,9.829e-06,2.847,71.17,0.4504,2100.0,0.06074,0.894443302487
batch-2-learning-45-regular-1,9041.0,1.049,0.767,0.5343,12980.0,1.534,38.36,1.436,0.06251,206.1,0.01587,0.9995,0.1273,9.788e-06,2.872,71.8,0.3452,2116.0,0.03988,1.721977561
batch-2-learning-45-regular-1,13550.0,1.0284,0.9611,0.8044,16200.0,1.923,48.07,1.198,0.1942,143.0,0.008813,0.9998,0.029623,1.7876e-06,2.397,59.95,0.2966,2106.0,0.0086905,0.889617914987
batch-2-learning-45-regular-1,13430.0,0.9997,0.9952,0.798,16760.0,1.989,49.76,1.247,0.7707,33.39,0.001987,0.9988,0.03381,2.0515e-06,2.496,62.38,0.299,2104.0,0.011256,0.813732008685
batch-5-learning-45-regular-5,15300.0,1.045,1.0125,0.9088,17030.0,2.024,50.61,1.116,0.1587,228.2,0.013379,1.0,0.023213,1.3571e-06,2.228,55.7,0.2908,2104.0,0.00798,1.36365012229
batch-5-learning-45-regular-5,14730.0,1.0077,0.9746,0.8752,16420.0,1.952,48.77,1.116,0.05196,284.9,0.01734,1.0,0.04066,2.5576e-06,2.229,55.76,0.2986,2103.0,0.019127,1.37632127377
batch-5-learning-45-regular-5,9694.0,1.0185,0.8244,0.5767,13850.0,1.65,41.22,1.429,0.8221,21.03,0.00151,0.9983,0.030223,2.1744e-06,2.86,71.51,0.2967,2100.0,0.010171,1.20847123003
batch-5-learning-45-regular-5,16630.0,0.995,1.0659,0.9844,17960.0,2.133,53.3,1.0811,0.04872,210.7,0.011543,1.0,0.03732,2.0917e-06,2.163,54.07,0.2993,2104.0,0.016158,1.36000367759
batch-5-learning-45-regular-5,12700.0,1.049,0.97,0.7489,16470.0,1.941,48.54,1.298,0.1607,213.1,0.01295,1.0,0.028953,1.7125e-06,2.598,64.94,0.2952,2120.0,0.0155009,1.23308537677
batch-5-learning-45-regular-4,17140.0,1.0264,1.246,1.0169,20960.0,2.493,62.32,1.221,0.1281,226.7,0.01083,0.9998,0.06707,3.184e-06,2.447,61.14,0.3178,2100.0,0.027719,1.43332381543
batch-5-learning-45-regular-4,17260.0,1.04,1.262,1.0251,21250.0,2.525,63.13,1.23,0.6263,69.25,0.003233,0.9976,0.17222,8.174e-06,2.458,61.47,0.4415,2104.0,0.11719,1.50961483725
batch-5-learning-45-regular-4,17170.0,1.0308,1.182,1.0201,19840.0,2.359,59.0,1.155,0.1452,167.1,0.008362,0.9991,0.14918,7.565e-06,2.311,57.77,0.3872,2100.0,0.04571,1.56729634832
batch-5-learning-45-regular-4,6367.0,0.9751,0.6241,0.3779,10510.0,1.249,31.19,1.65,0.0908,99.48,0.009469,0.9995,0.06228,5.85e-06,3.303,82.54,0.3268,2105.0,0.02659,1.10053834954
batch-5-learning-45-regular-4,11050.0,1.01,0.9882,0.6544,16700.0,1.979,49.44,1.511,0.7956,31.44,0.001881,0.9989,0.034637,2.0929e-06,3.023,75.58,0.301,2110.0,0.0194598,1.15966865796
batch-2-learning-45-regular-4,13600.0,1.0116,1.0968,0.8069,18490.0,2.192,54.82,1.365,0.15,101.61,0.005514,0.9937,0.623,3.427e-05,2.728,68.21,0.9719,2106.0,0.2336,1.41416155868
batch-2-learning-45-regular-4,13510.0,0.9848,0.9667,0.8038,16230.0,1.933,48.31,1.204,0.1664,137.5,0.008462,0.9998,0.03178,1.9563e-06,2.409,60.2,0.293,2100.0,0.015544,1.29479964463
batch-2-learning-45-regular-4,14110.0,0.9737,0.9326,0.8384,15680.0,1.866,46.62,1.112,0.06238,205.0,0.012951,0.9997,0.08387,5.385e-06,2.224,55.61,0.327,2102.0,0.02801,1.68365143704
batch-2-learning-45-regular-4,16630.0,1.0047,1.122,0.9897,18860.0,2.244,56.09,1.133,0.6942,32.52,0.001728,0.9991,0.030408,1.6195e-06,2.269,56.68,0.2977,2100.0,0.017073,1.42994115988
batch-2-learning-45-regular-4,14560.0,0.9891,1.172,0.8632,19800.0,2.349,58.71,1.363,0.05128,94.98,0.004809,0.9998,0.029141,1.46448e-06,2.726,68.11,0.2982,2107.0,0.0085548,1.35809342891
batch-2-learning-45-regular-5,6691.0,1.046,0.6776,0.3958,11440.0,1.354,33.87,1.713,0.8874,10.022,0.0008752,0.9975,0.026362,2.2845e-06,3.426,85.67,0.2967,2113.0,0.0098306,1.04155273961
batch-2-learning-45-regular-5,16280.0,1.0109,1.1774,0.9656,19850.0,2.357,58.9,1.219,0.03353,274.4,0.01384,1.0,0.030052,1.5087e-06,2.44,61.01,0.2969,2104.0,0.015546,1.35112880125
batch-2-learning-45-regular-5,17020.0,1.0205,1.1603,1.0101,19480.0,2.322,58.03,1.147,0.05344,201.97,0.010308,1.0,0.026197,1.3654e-06,2.296,57.35,0.2923,2100.0,0.007775,1.35641992884
batch-2-learning-45-regular-5,8517.0,1.0333,0.7115,0.5042,12010.0,1.424,35.56,1.413,0.0735,192.3,0.01607,0.9997,0.09812,8.274e-06,2.825,70.61,0.3472,2111.0,0.04689,1.03645153107
batch-2-learning-45-regular-5,11870.0,1.0324,0.8903,0.7015,15070.0,1.781,44.51,1.269,0.05772,186.5,0.01248,0.9999,0.031361,2.0364e-06,2.537,63.41,0.2963,2113.0,0.0160049,1.12773003909
batch-5-learning-45-regular-1,8338.0,1.0022,0.9363,0.4961,15730.0,1.873,46.82,1.889,0.05262,98.28,0.006255,0.9998,0.0236,1.4871e-06,3.777,94.41,0.2914,2100.0,0.007089,1.10985332197
batch-5-learning-45-regular-1,17120.0,1.0274,1.115,1.0173,18770.0,2.233,55.82,1.095,0.05896,243.9,0.013065,0.9999,0.038004,2.027e-06,2.19,54.76,0.2956,2100.0,0.009697,1.36471511456
batch-5-learning-45-regular-1,9796.0,1.0107,0.8127,0.5804,13710.0,1.625,40.64,1.401,0.8743,21.66,0.001561,0.9986,0.032225,2.2997e-06,2.798,69.99,0.297,2108.0,0.0151935,1.20952360302
batch-5-learning-45-regular-1,15490.0,0.9934,1.138,0.9225,19120.0,2.275,56.91,1.235,0.0636,138.4,0.007225,0.9998,0.03116,1.615e-06,2.468,61.73,0.2949,2100.0,0.0159,1.46118195845
batch-5-learning-45-regular-1,16611.1111111,0.982888888889,1.03844444444,0.964333333333,17877.7777778,2.07444444444,51.8888888889,1.07777777778,0.144555555556,143.0,0.00802555555556,0.952222222222,6.85811111111,0.00038807,2.15222222222,53.8222222222,1.98266666667,2151.11111111,0.488377777778,1.41983094109
batch-3-learning-89-regular-1,8592.0,1.0175,0.7426,0.5077,12570.0,1.485,37.13,1.464,0.08602,100.87,0.008027,0.9998,0.027114,2.1403e-06,2.925,73.15,0.2986,2114.0,0.015535,1.10102331686
batch-3-learning-89-regular-1,15780.0,0.9882,1.157,0.937,19490.0,2.315,57.85,1.237,0.1258,147.7,0.007567,0.9998,0.027132,1.3823e-06,2.471,61.76,0.2945,2103.0,0.0096783,1.30260462313
batch-3-learning-89-regular-1,15130.0,1.0034,1.0084,0.8999,16990.0,2.018,50.45,1.122,0.6568,64.93,0.003792,0.9913,0.5164,3.057e-05,2.245,56.12,0.8784,2103.0,0.1857,1.42518446525
batch-3-learning-89-regular-1,12580.0,0.9912,0.9328,0.7442,15770.0,1.868,46.64,1.255,0.04092,284.4,0.01805,1.0,0.03235,2.0408e-06,2.51,62.74,0.2946,2111.0,0.014911,1.21208924136
batch-3-learning-89-regular-1,10264.4444444,0.968111111111,0.749888888889,0.608222222222,12655.5555556,1.49888888889,37.4777777778,1.23333333333,0.196111111111,81.6444444444,0.00647888888889,0.999666666667,0.0253011111111,2.058e-06,2.46555555556,61.6222222222,0.296,2110.0,0.0086,1.13817857975
batch-4-learning-34-regular-4,12755.5555556,0.992222222222,0.918111111111,0.747666666667,15655.5555556,1.83555555556,45.9,1.22888888889,0.193,131.444444444,0.00840777777778,0.999777777778,0.0308677777778,2.001e-06,2.45444444444,61.4,0.297333333333,2128.88888889,0.00978888888889,1.29905149534
batch-4-learning-34-regular-4,9426.0,1.0148,0.9788,0.559,16510.0,1.962,48.98,1.754,0.8497,7.429,0.0004503,0.9966,0.021932,1.3275e-06,3.513,87.76,0.2936,2106.0,0.00797,1.17629020833
batch-4-learning-34-regular-4,16860.0,1.0129,1.1379,1.0025,19130.0,2.275,56.9,1.132,0.0839,195.7,0.010081,0.9978,0.3971,2.088e-05,2.264,56.58,0.6413,2100.0,0.20506,1.58950737129
batch-4-learning-34-regular-4,14200.0,1.04888888889,1.17333333333,0.818222222222,20422.2222222,2.35222222222,58.7555555556,1.44777777778,0.720222222222,32.4444444444,0.00158333333333,0.980111111111,0.596333333333,2.93777777778e-05,2.89333333333,72.3666666667,0.891,2168.88888889,0.229,1.4141359003
batch-4-learning-34-regular-4,13120.0,1.0343,0.9309,0.7801,15650.0,1.862,46.56,1.193,0.1451,129.5,0.008299,0.9997,0.032946,2.2115e-06,2.386,59.64,0.2979,2101.0,0.018078,1.16752011621
batch-3-learning-1-regular-1,10898.8888889,1.01455555556,0.888,0.644,15033.3333333,1.77444444444,44.4,1.38111111111,0.0625888888889,190.222222222,0.0126333333333,0.999666666667,0.0810111111111,5.38444444444e-06,2.75888888889,69.0,0.349666666667,2115.55555556,0.0539444444444,1.18335409358
batch-3-learning-1-regular-1,17030.0,1.0242,1.198,1.0117,20130.0,2.393,59.84,1.182,0.07245,213.1,0.010533,0.9987,0.3068,1.526e-05,2.368,59.19,0.5524,2102.0,0.10443,1.44378085247
batch-3-learning-1-regular-1,9844.0,1.0131,0.9848,0.5841,16590.0,1.969,49.22,1.691,0.7655,21.33,0.001281,0.9898,0.2021,1.2177e-05,3.38,84.5,0.4605,2107.0,0.07584,1.29637452619
batch-3-learning-1-regular-1,14820.0,1.0339,1.194,0.8822,20120.0,2.393,59.8,1.359,0.7274,50.57,0.00251,0.9987,0.06307,3.152e-06,2.715,67.87,0.3329,2103.0,0.02838,1.44636721311
batch-3-learning-1-regular-1,8670.0,1.049,1.0181,0.5148,17160.0,2.04,50.95,1.98,0.868,11.95,0.0006962,0.9978,0.028199,1.6661e-06,3.96,99.06,0.2967,2105.0,0.017269,1.10547384729
batch-4-learning-34-regular-2,15000.0,1.0041,1.205,0.8911,20280.0,2.406,60.18,1.353,0.11222,102.22,0.005043,0.995,0.4945,2.438e-05,2.705,67.64,0.7576,2105.0,0.1946,1.39491877162
batch-4-learning-34-regular-2,9969.0,0.9918,0.8231,0.5876,13980.0,1.647,41.15,1.404,0.7615,43.93,0.003144,0.9984,0.06572,4.726e-06,2.804,70.13,0.3293,2120.0,0.03293,1.17653239612
batch-4-learning-34-regular-2,16520.0,0.9885,1.229,0.9769,20780.0,2.459,61.47,1.259,0.7364,44.21,0.002127,0.9994,0.035078,1.6925e-06,2.517,62.95,0.3015,2112.0,0.019042,1.81830442361
batch-4-learning-34-regular-2,10414.0,1.0164,0.7143,0.6179,12050.0,1.428,35.71,1.155,0.184,200.9,0.01673,1.0,0.02593,2.1345e-06,2.312,57.79,0.2907,2108.0,0.0079024,1.46207330823
batch-4-learning-34-regular-2,16910.0,1.023,1.145,1.0016,19350.0,2.294,57.37,1.143,0.07028,131.8,0.006666,0.9999,0.03293,1.6889e-06,2.286,57.15,0.2996,2108.0,0.016934,1.85223711707
batch-2-learning-45-regular-2,8449.0,1.0349,0.9529,0.5014,16060.0,1.904,47.66,1.905,0.06653,95.34,0.005945,0.9998,0.027071,1.6635e-06,3.808,95.19,0.2947,2105.0,0.014788,1.20104935815
batch-2-learning-45-regular-2,10488.8888889,1.03111111111,1.039,0.615444444444,17688.8888889,2.07777777778,51.9444444444,1.68888888889,0.816555555556,20.1333333333,0.00114,0.997222222222,0.0547333333333,3.07944444444e-06,3.37666666667,84.4,0.326444444444,2130.0,0.0231444444444,1.38158944707
batch-2-learning-45-regular-2,11090.0,1.049,1.223,0.655,20680.0,2.447,61.14,1.869,0.1173,84.92,0.004102,0.9997,0.03061,1.474e-06,3.733,93.38,0.2998,2115.0,0.015794,1.22124128239
batch-2-learning-45-regular-2,15790.0,1.0107,1.127,0.9382,18980.0,2.256,56.39,1.2,0.1305,211.4,0.011087,1.0,0.030996,1.6451e-06,2.4,59.98,0.2943,2103.0,0.016113,1.41304909608
batch-2-learning-45-regular-2,15920.0,1.0092,1.1807,0.9468,19840.0,2.359,59.02,1.248,0.1511,146.8,0.00739,0.9999,0.025082,1.2638e-06,2.496,62.37,0.2905,2100.0,0.0073784,1.66844740917
