Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2HIT,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
hash-7-itr-19-probe-2,facedetect:eyes-0-pyramid-13-selectivity-1,2367.77777778,1.06555555556,0.185333333333,0.138333333333,3175.55555556,0.370777777778,9.26777777778,1.34111111111,0.931444444444,0.590444444444,0.000183666666667,0.927666666667,0.0461111111111,1.41622222222e-05,2.68444444444,67.0888888889,0.20557,2148.88888889,0.01258,1.0452618722
hash-7-itr-19-probe-2,facedetect:eyes-1-pyramid-5-selectivity-2,2394.44444444,1.06,0.187555555556,0.142222222222,3160.0,0.375111111111,9.37888888889,1.32444444444,0.923555555556,0.703333333333,0.000223222222222,0.954222222222,0.0347244444444,1.10533333333e-05,2.64555555556,66.1555555556,0.0296222222222,2104.44444444,0.0133277777778,1.02555018922
hash-7-itr-19-probe-2,swaptions:num-500000,2466.66666667,1.06444444444,0.360222222222,0.144111111111,6172.22222222,0.720444444444,18.0111111111,2.52111111111,0.968111111111,0.245522222222,3.87777777778e-05,0.886,0.0152855555556,2.44988888889e-06,5.04111111111,125.888888889,0.290555555556,2144.44444444,0.0497437777778,1.03660612359
hash-7-itr-19-probe-2,bodytrack:layer-1-particle-2266,2394.44444444,1.06444444444,0.336111111111,0.14,5752.22222222,0.672333333333,16.8111111111,2.40444444444,0.740444444444,7.75444444444,0.00134555555556,0.991222222222,0.0673555555556,1.16777777778e-05,4.81111111111,120.333333333,0.385444444444,2144.44444444,0.0454444444444,1.04259256689
hash-7-itr-19-probe-2,swaptions:num-900000,2261.11111111,1.06777777778,0.351666666667,0.134111111111,5928.88888889,0.703222222222,17.5888888889,2.61888888889,0.985666666667,0.0667555555556,1.13e-05,0.781555555556,0.0140344444444,2.37566666667e-06,5.24111111111,131.111111111,0.00679666666667,2106.66666667,0.00125755555556,1.02838674638
hash-7-itr-19-probe-2,facedetect:eyes-2-pyramid-18-selectivity-2,2258.88888889,1.06888888889,0.180555555556,0.134111111111,3041.11111111,0.361,9.02777777778,1.34666666667,0.919444444444,0.613111111111,0.000201555555556,0.965777777778,0.0239144444444,7.89888888889e-06,2.69333333333,67.3333333333,0.0143977777778,2105.55555556,0.00677777777778,1.03752379118
hash-7-itr-19-probe-2,swaptions:num-600000,2263.33333333,1.06666666667,0.353111111111,0.133777777778,5967.77777778,0.706555555556,17.6555555556,2.63555555556,0.983222222222,0.0765,1.28633333333e-05,0.812,0.0130711111111,2.19777777778e-06,5.27333333333,131.888888889,0.00566111111111,2111.11111111,0.001258,1.03165481048
hash-7-itr-19-probe-2,bodytrack:layer-3-particle-1833,2357.77777778,1.06555555556,0.315444444444,0.137444444444,5397.77777778,0.630777777778,15.7666666667,2.29444444444,0.779666666667,8.13888888889,0.00150777777778,0.993555555556,0.0514444444444,9.47e-06,4.58555555556,114.555555556,0.0658777777778,2144.44444444,0.0247444444444,1.04504039583
hash-7-itr-19-probe-2,swaptions:num-900000,2276.66666667,1.06555555556,0.353111111111,0.133777777778,6010.0,0.706444444444,17.6666666667,2.64,0.985,0.0688,1.15077777778e-05,0.801555555556,0.0129811111111,2.18144444444e-06,5.28333333333,132.222222222,0.00582,2125.55555556,0.001101,1.02010899556
hash-7-itr-19-probe-2,facedetect:eyes-1-pyramid-11-selectivity-2,2247.77777778,1.06777777778,0.182,0.133777777778,3058.88888889,0.363777777778,9.09666666667,1.35888888889,0.938111111111,0.479666666667,0.000157777777778,0.960666666667,0.0218455555556,7.22111111111e-06,2.71888888889,67.9444444444,0.0138444444444,2100.0,0.00707,1.03772180365
hash-7-itr-19-probe-2,facedetect:eyes-2-pyramid-7-selectivity-1,2254.44444444,1.06666666667,0.180555555556,0.133888888889,3036.66666667,0.361555555556,9.03444444444,1.35,0.923666666667,0.582111111111,0.000192111111111,0.959,0.0263444444444,8.71333333333e-06,2.69444444444,67.4111111111,0.0221888888889,2100.0,0.0115522222222,1.04375574705
hash-7-itr-19-probe-2,swaptions:num-600000,2295.55555556,1.06888888889,0.355333333333,0.134222222222,6074.44444444,0.710444444444,17.7666666667,2.64555555556,0.982444444444,0.0834555555556,1.37733333333e-05,0.830555555556,0.0140844444444,2.32977777778e-06,5.29111111111,132.444444444,0.00636922222222,2137.77777778,0.00120055555556,1.03393510141
hash-7-itr-19-probe-2,facedetect:eyes-1-pyramid-9-selectivity-2,2306.66666667,1.06888888889,0.182777777778,0.134777777778,3127.77777778,0.365222222222,9.13333333333,1.35555555556,0.927777777778,0.613,0.000196222222222,0.962888888889,0.0261844444444,8.42888888889e-06,2.71333333333,67.8111111111,0.01742,2146.66666667,0.00872888888889,1.03473330339
hash-7-itr-19-probe-2,facedetect:eyes-0-pyramid-16-selectivity-1,2302.22222222,1.06777777778,0.181777777778,0.134444444444,3115.55555556,0.363666666667,9.09222222222,1.35444444444,0.941888888889,0.467,0.000150555555556,0.958333333333,0.0223777777778,7.25111111111e-06,2.70888888889,67.7111111111,0.0141711111111,2146.66666667,0.00744555555556,1.03164408004
hash-7-itr-19-probe-2,facedetect:eyes-1-pyramid-18-selectivity-2,2307.77777778,1.06888888889,0.181555555556,0.134,3124.44444444,0.362888888889,9.07111111111,1.35111111111,0.944888888889,0.438555555556,0.000140655555556,0.955444444444,0.0220555555556,7.07333333333e-06,2.70666666667,67.6444444444,0.0129255555556,2153.33333333,0.00648777777778,1.02035751265
hash-7-itr-19-probe-2,swaptions:num-100000,2258.88888889,1.06666666667,0.352777777778,0.133777777778,5951.11111111,0.705888888889,17.6555555556,2.63555555556,0.984,0.0755444444444,1.26955555556e-05,0.854333333333,0.0105855555556,1.78422222222e-06,5.27111111111,131.777777778,0.00568444444444,2106.66666667,0.00117411111111,1.0222927125
hash-7-itr-19-probe-2,bodytrack:layer-5-particle-3133,2500.0,1.06555555556,0.310222222222,0.145888888889,5310.0,0.620444444444,15.5111111111,2.14222222222,0.857,6.32777777778,0.00119555555556,0.992444444444,0.0490222222222,9.21666666667e-06,4.28333333333,107.188888889,0.0464777777778,2144.44444444,0.0180444444444,1.03228976663
hash-7-itr-19-probe-2,bodytrack:layer-3-particle-2700,2244.44444444,1.05655555556,0.297777777778,0.130944444444,5101.11111111,0.596,14.8888888889,2.27222222222,0.806888888889,7.36666666667,0.00144888888889,0.995333333333,0.0331666666667,6.77222222222e-06,4.54444444444,114.0,0.0489333333333,2144.44444444,0.0204888888889,1.0274200049
