Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
11,99.99999999999432,99.99999999999432,121.11000000000001,109.87538766860962,False,225.0,1,7.0,1,0.002047774344866138
11,99.99999999999432,99.99999999999432,121.11000000000001,109.5595154762268,False,226.0,1,7.0,1,0.002062805763768091
12,99.99999999999432,99.99999999999432,121.11000000000001,109.52944779396057,False,230.0,1,7.0,1,0.002099891897863491
12,99.99999999999432,99.99999999999432,121.11000000000001,109.65580582618713,False,228.0,1,7.0,1,0.0020792332725309364
13,99.99999999999432,99.99999999999432,121.11000000000001,109.68953657150269,False,290.0,1,9.0,1,0.0026438255558766024
13,99.99999999999432,99.99999999999432,121.11000000000001,109.6824598312378,False,291.0,1,9.0,1,0.00265311336423112
14,99.99999999999432,99.99999999999432,121.11000000000001,109.8590075969696,False,288.0,1,9.0,1,0.0026215419773002236
14,99.99999999999432,99.99999999999432,121.11000000000001,109.98240280151367,False,260.0,1,8.0,1,0.0023640145457562386
15,99.99999999999432,99.99999999999432,121.11000000000001,110.2205011844635,False,333.0,1,9.0,1,0.003021216528880556
15,99.99999999999432,99.99999999999432,121.11000000000001,109.78134560585022,False,297.0,1,9.0,1,0.002705377661031083
16,99.99999999999432,99.99999999999432,121.11000000000001,109.69594669342041,False,298.0,1,9.0,1,0.0027165999198936136
16,99.99999999999432,99.99999999999432,121.11000000000001,109.80350041389465,False,289.0,1,9.0,1,0.0026319743806949678
17,99.99999999999432,99.99999999999432,121.11000000000001,109.62485647201538,False,335.0,1,10.0,1,0.003055876292850769
17,99.99999999999432,99.99999999999432,121.11000000000001,109.93603563308716,False,326.0,1,10.0,1,0.0029653607038189816
18,99.99999999999432,99.99999999999432,121.11000000000001,109.9340660572052,False,327.0,1,10.0,1,0.0029745101925898253
18,99.99999999999432,99.99999999999432,121.11000000000001,109.74418592453003,False,327.0,1,10.0,1,0.002979656710241348
19,99.99999999999432,99.99999999999432,121.11000000000001,109.7037718296051,False,328.0,1,10.0,1,0.0029898698515987087
19,99.99999999999432,99.99999999999432,121.11000000000001,109.74723792076111,False,322.0,1,10.0,1,0.0029340146148597204
20,99.99999999999432,99.99999999999432,121.11000000000001,109.78595876693726,False,327.0,1,10.0,1,0.0029785229702660133
20,99.99999999999432,99.99999999999432,121.11000000000001,109.69949340820312,False,318.0,1,10.0,1,0.002898828336578449
