Percentage,MV,Augmented_MV,Budget,Exec_Time
1,-0.17585408203046882,-0.17585408203046882,6.555,5.955444812774658
2,31.001103923912865,31.001103923912865,12.01,11.954221487045288
3,17.80058598238554,17.80058598238554,17.464999999999996,16.981454849243164
4,67.68409737026104,67.68409737026104,22.92,21.96535038948059
5,10.485361453902442,10.485361453902442,28.375,28.078738927841187
6,-1.2487303175134912,-1.2487303175134912,33.82999999999999,32.955599308013916
7,17.43004823461547,17.43004823461547,39.285,38.8894476890564
8,57.43668170079275,57.43668170079275,44.74,43.5125093460083
9,74.62413080922659,74.62413080922659,50.195,49.12161421775818
10,90.32010124958845,90.32010124958845,55.65,54.39977717399597
