Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
num-700000,9110.277777777777,1.0516666666666667,0.49916666666666676,0.5239444444444444,8624.722222222223,0.9983055555555553,24.96388888888889,1.345472222222222,9.47461111111111,0.0010195999999999998,0.614638888888889,3.3753055555555553,0.0003701308333333333,2.691388888888889,67.26388888888889,3.108404444444444,2157.777777777778,1.8015757500000005,1.2299824093858047
num-700000,18200.0,1.0499999999999992,1.2916666666666667,1.0399999999999994,22535.416666666668,2.5827083333333336,64.56458333333335,1.2379166666666668,206.875,0.009147708333333332,1.0,0.019106041666666667,8.422708333333333e-07,2.476875,61.92083333333331,0.01137479166666667,2178.75,0.0034781250000000003,1.646342131230333
num-700000,5234.6875,1.0575000000000003,0.4431562499999999,0.30206249999999985,7660.9375,0.886125,22.153124999999996,1.9308125,3.6837999999999993,0.00041290937499999995,0.66603125,1.4404259375000004,0.00016584500000000002,3.8587499999999997,96.46875,1.5417234375,2160.9375,1.1848454687499999,1.1268098209082786
num-700000,7193.870967741936,1.0500000000000003,0.7954193548387098,0.4274516129032258,13377.41935483871,1.5903225806451622,39.774193548387096,1.8609677419354838,5.192903225806452,0.00038783870967741937,0.997225806451613,0.012765161290322579,9.545806451612905e-07,3.723225806451613,93.07096774193546,0.010496129032258064,2103.2258064516127,0.002414193548387096,1.0284399518278233
num-700000,4529.0,1.0500000000000005,0.5236999999999999,0.2635,9002.333333333334,1.0463333333333336,26.183333333333344,1.9876666666666665,0.8558333333333333,9.499333333333335e-05,0.9677,0.028633333333333334,3.166333333333333e-06,3.9763333333333333,99.37333333333332,0.021203333333333338,2148.6666666666665,0.007916999999999999,1.0268950235033605
num-700000,13200.0,1.0499999999999996,1.38452380952381,0.782404761904762,23364.285714285714,2.769285714285715,69.22857142857143,1.769761904761905,15.873571428571434,0.0006764761904761906,0.9994285714285712,0.008002619047619048,3.4183095238095227e-07,3.5392857142857146,88.46666666666667,0.00557047619047619,2109.5238095238096,0.0010741428571428573,1.3945114797404918
num-700000,4547.666666666667,1.0500000000000005,0.5235333333333334,0.2643333333333333,9009.0,1.047,26.17666666666667,1.981,0.9707666666666666,0.00010775,0.9671666666666668,0.03323333333333334,3.6996666666666657e-06,3.9623333333333335,98.99666666666664,0.022578000000000008,2151.3333333333335,0.006717,1.0296300687618973
num-700000,14971.111111111111,1.0499999999999994,1.4342222222222223,0.8874666666666666,24193.333333333332,2.867555555555556,71.70222222222222,1.6168888888888893,7.725555555555555,0.00031984444444444436,0.9966888888888887,0.00894311111111111,3.6724222222222223e-07,3.232666666666666,80.8311111111111,0.00897088888888889,2109.3333333333335,0.002436666666666667,1.450922932287013
num-700000,4436.129032258064,1.0500000000000003,0.5265806451612903,0.2635806451612904,8857.741935483871,1.0538709677419353,26.33225806451613,1.9974193548387096,0.8917096774193547,0.00010071935483870968,0.9566129032258064,0.038325806451612904,4.330967741935483e-06,3.994516129032258,99.80000000000001,0.03769032258064515,2101.6129032258063,0.019745161290322583,1.0247355735985393
num-700000,13207.692307692309,1.0499999999999996,1.3148717948717945,0.7828717948717949,22187.17948717949,2.6305128205128208,65.76923076923077,1.68,2.333589743589743,0.00010517179487179486,0.996820512820513,0.007212820512820511,3.254487179487178e-07,3.36102564102564,84.00512820512819,0.00513025641025641,2105.641025641026,0.000964307692307692,1.284229812361602
num-1000000,5093.829787234043,1.0627659574468087,0.41136170212765955,0.29763829787234053,7004.04255319149,0.822617021276596,20.57446808510639,2.114063829787235,4.150797872340425,0.00044587659574468096,0.7892765957446811,1.363973829787234,0.00014825212765957448,4.2274468085106385,105.7063829787234,1.2770282978723406,2124.468085106383,0.7045361702127663,1.238330933806979
