Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
11,59.38497376821772,59.38497376821772,88.38,88.05853724479675,False,67.0,2,2.0,1,0.000760857517014444
11,59.38497376821772,59.38497376821772,88.38,88.04074335098267,False,63.0,2,2.0,1,0.0007155777836727775
12,59.3355596188303,59.3355596188303,88.38,88.0092384815216,False,65.0,2,2.0,1,0.0007385588277036096
12,59.432839895563916,59.432839895563916,88.38,88.07544159889221,False,68.0,2,2.0,1,0.0007720653880985513
13,59.35189462213941,59.35189462213941,88.38,88.02175760269165,False,65.0,2,2.0,1,0.0007384537842722234
13,59.39956965443116,59.39956965443116,88.38,88.03715634346008,False,64.0,2,2.0,1,0.0007269657796569016
14,59.393969742586705,59.393969742586705,88.38,88.00449061393738,False,64.0,2,2.0,1,0.000727235616654592
14,59.36747534306619,59.36747534306619,88.38,88.04200029373169,False,63.0,2,2.0,1,0.0007155675676360729
15,59.39956965443116,59.39956965443116,88.38,88.08706760406494,False,64.0,2,2.0,1,0.0007265538715361504
15,59.27121881410358,59.27121881410358,88.38,88.01614904403687,False,65.0,2,2.0,1,0.0007385008399706142
16,59.27121881410358,59.27121881410358,88.38,88.03137063980103,False,62.0,2,2.0,1,0.0007042943844835282
16,59.29158032091664,59.29158032091664,88.38,88.02834606170654,False,68.0,2,2.0,1,0.0007724784463442381
17,59.36939304729094,59.36939304729094,88.38,88.07876086235046,False,63.0,2,2.0,1,0.0007152689182180529
17,59.39433040695974,59.39433040695974,88.38,88.02922296524048,False,67.0,2,2.0,1,0.0007611108873067737
18,59.40359374785942,59.40359374785942,88.38,88.02451419830322,False,66.0,2,2.0,1,0.000749791130358459
18,59.309078746053956,59.309078746053956,88.38,88.07099962234497,False,62.0,2,2.0,1,0.0007039774757395809
19,59.38955203113494,59.38955203113494,88.38,88.04342865943909,False,66.0,2,2.0,1,0.0007496300519519145
19,59.39801567301117,59.39801567301117,88.38,88.09340310096741,False,34.0,1,1.0,1,0.0003859539852380459
20,59.293684611276376,59.293684611276376,88.38,88.01981687545776,False,65.0,2,2.0,1,0.0007384700662575874
20,59.300011009128184,59.300011009128184,88.38,87.99436163902283,False,63.0,2,2.0,1,0.0007159549637787407
