System;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;C10res%;Proc Energy (Joules);System;;;;;;;;;;;;;;;;;;;;System Core C-States;;;;;System Pack C-States;;;;;;;;
Date;Time;EXEC;IPC;FREQ;AFREQ;L3MISS;L2MISS;L3HIT;L3MPI;L2MPI;READ;WRITE;INST;ACYC;TIME(ticks);PhysIPC;PhysIPC%;INSTnom;INSTnom%;C0res%;C1res%;C3res%;C6res%;C7res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;C10res%;Proc Energy (Joules);
2019-05-21;15:42:04.021;0;-1;0;-1;0;0;1;-nan;-nan;0.0084;0.000611;0;0;2.15e+03;-1;-25;0;0;0;26.7;0.0357;0.353;72.9;0;0;0;0;0;0;0;12.5;
2019-05-21;15:42:04.533;0;-1;0;-1;0;0;1;-nan;-nan;0.00102;0.000132;0;0;2.1e+03;-1;-25;0;0;0;26.1;0.0507;0.562;73.3;0;0;0;0;0;0;0;13.2;
2019-05-21;15:42:05.033;0;-1;0;-1;0;0;1;-nan;-nan;0.000342;6.43e-05;0;0;2.15e+03;-1;-25;0;0;0;26.8;0.0947;0.0907;73;0;0;0;0;0;0;0;13;
2019-05-21;15:42:05.545;0;-1;0;-1;0;0;1;-nan;-nan;0.000258;4.54e-05;0;0;2.1e+03;-1;-25;0;0;0;25.9;0.0504;0.394;73.6;0;0;0;0;0;0;0;13.3;
2019-05-21;15:42:06.057;0;-1;0;-1;0;0;1;-nan;-nan;0.000251;5.27e-05;0;0;2.2e+03;-1;-25;0;0;0;26.2;0.0448;0.301;73.4;0;0;0;0;0;0;0;13.3;
2019-05-21;15:42:06.569;0;-1;0;-1;0;0;1;-nan;-nan;0.000573;0.000102;0;0;2.1e+03;-1;-25;0;0;0;26.5;0.0414;0.146;73.3;0;0;0;0;0;0;0;13.3;
2019-05-21;15:42:07.081;0;-1;0;-1;0;0;1;-nan;-nan;0.00062;0.000124;0;0;2.2e+03;-1;-25;0;0;0;26.8;0;0.175;73;0;0;0;0;0;0;0;13.3;
2019-05-21;15:42:07.593;0;-1;0;-1;0;0;1;-nan;-nan;0.000212;4.76e-05;0;0;2.1e+03;-1;-25;0;0;0;25.9;0.032;0.142;73.9;0;0;0;0;0;0;0;13.3;
