;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
hash 8 iteration 17 probe 2;8.24e+03;1.04;8.71;0;9.36;35.3;0;0;0;0;0;2018-11-05;0.156;0.0909;1.41e+04;0.311;7.78;1.71;0.592;6.56;0.000465;0.526;3.08;0.000218;3.43;85.7;48.8;1.29;1.13e+04;17:25:41.453;0.152;
hash 8 iteration 22 probe 8;8.76e+03;1.04;8.93;0;11.7;30.3;0;0;0;0;0;2018-11-05;0.154;0.0928;1.45e+04;0.308;7.69;1.66;0.534;9.29;0.00064;0.461;4.97;0.000343;3.31;82.8;49.9;1.87;1.18e+04;17:18:17.759;0.162;
hash 5 iteration 22 probe 14;8.55e+03;1.02;8.89;0;10.2;33.7;0;0;0;0;0;2018-11-05;0.152;0.0909;1.43e+04;0.305;7.61;1.67;0.524;8.79;0.000615;0.464;4.68;0.000327;3.35;83.7;52.1;1.76;1.17e+04;17:26:33.181;0.156;
hash 8 iteration 25 probe 14;9.15e+03;1.02;9.11;0;10.2;30.9;0;0;0;0;0;2018-11-05;0.151;0.0934;1.48e+04;0.301;7.54;1.61;0.486;11.2;0.000761;0.433;6.35;0.00043;3.23;80.7;53.9;2.28;1.23e+04;17:29:32.556;0.163;
hash 8 iteration 9 probe 20;9.42e+03;1.04;9.06;0;10.6;31.9;0;0;0;0;0;2018-11-05;0.151;0.0945;1.5e+04;0.302;7.54;1.59;0.485;12.8;0.000855;0.405;7.61;0.000507;3.19;79.7;54.8;2.61;1.25e+04;17:21:29.813;0.161;
hash 7 iteration 9 probe 18;9.16e+03;1.03;9.08;0;12.1;29;0;0;0;0;0;2018-11-05;0.151;0.0931;1.49e+04;0.303;7.57;1.63;0.473;11.6;0.000777;0.427;6.59;0.000443;3.25;81.3;53.7;2.33;1.23e+04;17:21:21.020;0.162;
hash 7 iteration 9 probe 16;9.03e+03;1.03;8.98;0;10.3;32.8;0;0;0;0;0;2018-11-05;0.151;0.0925;1.47e+04;0.301;7.53;1.63;0.492;11;0.000746;0.428;6.24;0.000425;3.25;81.4;52.8;2.22;1.22e+04;17:25:24.048;0.157;
hash 7 iteration 9 probe 14;8.94e+03;1.04;8.93;0;10.3;33.2;0;0;0;0;0;2018-11-05;0.153;0.0932;1.47e+04;0.306;7.65;1.64;0.524;10.3;0.000702;0.429;5.86;0.000399;3.28;82.1;52.2;2.11;1.2e+04;17:21:23.957;0.161;
hash 7 iteration 9 probe 12;8.82e+03;1.05;8.84;0;11.1;33.8;0;0;0;0;0;2018-11-05;0.152;0.0925;1.45e+04;0.305;7.62;1.65;0.536;9.84;0.000677;0.444;5.44;0.000375;3.3;82.4;52.4;1.98;1.19e+04;17:27:34.063;0.159;
hash 7 iteration 9 probe 10;8.69e+03;1.04;8.84;0;12.3;33.8;0;0;0;0;0;2018-11-05;0.153;0.0919;1.45e+04;0.306;7.65;1.66;0.529;9.38;0.000649;0.451;5.12;0.000355;3.33;83.2;51.3;1.9;1.18e+04;17:29:35.428;0.16;
hash 5 iteration 22 probe 20;9.17e+03;1.04;9.28;0;14.2;28.6;0;0;0;0;0;2018-11-05;0.158;0.0966;1.5e+04;0.316;7.89;1.64;0.552;10.8;0.000719;0.479;5.58;0.000372;3.27;81.8;53.4;2.04;1.19e+04;17:26:36.080;0.188;
hash 7 iteration 12 probe 20;9.22e+03;1.04;9.02;0;10.4;32.5;0;0;0;0;0;2018-11-05;0.151;0.094;1.48e+04;0.302;7.55;1.61;0.524;11.9;0.000807;0.415;6.96;0.00047;3.21;80.3;53.7;2.42;1.23e+04;17:30:12.986;0.163;
hash 6 iteration 9 probe 20;9.02e+03;1.05;8.93;0;9.44;33.3;0;0;0;0;0;2018-11-05;0.152;0.0935;1.47e+04;0.304;7.61;1.63;0.494;10.9;0.00074;0.424;6.23;0.000424;3.26;81.4;52.7;2.21;1.21e+04;17:29:58.423;0.161;
hash 6 iteration 17 probe 12;8.87e+03;1.04;9.03;0;11.5;32.8;0;0;0;0;0;2018-11-05;0.153;0.0939;1.44e+04;0.305;7.63;1.63;0.58;9.13;0.000633;0.456;4.93;0.000342;3.25;81.3;51.4;1.84;1.18e+04;17:26:41.800;0.159;
hash 8 iteration 2 probe 8;9.08e+03;1.04;9.23;0;12.5;30.6;0;0;0;0;0;2018-11-05;0.158;0.0962;1.49e+04;0.317;7.91;1.65;0.564;10;0.00067;0.499;4.99;0.000334;3.29;82.3;53;1.88;1.18e+04;17:26:13.075;0.186;
hash 7 iteration 22 probe 10;9.13e+03;1.04;9.26;0;10.5;30.3;0;0;0;0;0;2018-11-05;0.158;0.0966;1.49e+04;0.316;7.9;1.64;0.576;10.2;0.000679;0.491;5.14;0.000344;3.27;81.8;53.1;1.93;1.18e+04;17:24:12.240;0.188;
hash 5 iteration 19 probe 18;8.89e+03;1.03;9.04;0;9.88;30.3;0;0;0;0;0;2018-11-05;0.151;0.0932;1.44e+04;0.302;7.55;1.62;0.575;9.68;0.000673;0.45;5.29;0.000368;3.24;81;51.8;1.92;1.19e+04;17:27:54.188;0.155;
hash 8 iteration 2 probe 2;8.65e+03;1.05;9.1;0;10.3;32.4;0;0;0;0;0;2018-11-05;0.161;0.0954;1.46e+04;0.321;8.03;1.68;0.606;7.36;0.000505;0.567;3.16;0.000217;3.37;84.2;50.6;1.34;1.13e+04;17:27:36.833;0.183;
hash 5 iteration 19 probe 14;8.65e+03;1.04;8.94;0;12.7;32.6;0;0;0;0;0;2018-11-05;0.154;0.0926;1.44e+04;0.308;7.69;1.66;0.564;8.99;0.000626;0.457;4.85;0.000338;3.32;83.1;50.8;1.83;1.17e+04;17:29:26.557;0.164;
hash 5 iteration 22 probe 16;8.63e+03;1.05;8.8;0;10.5;30.2;0;0;0;0;0;2018-11-05;0.153;0.092;1.43e+04;0.306;7.65;1.66;0.562;9.24;0.000644;0.45;5.05;0.000352;3.32;83.1;50.9;1.88;1.17e+04;17:25:10.049;0.164;
hash 8 iteration 2 probe 6;8.52e+03;1.04;8.78;0;13.5;21;0;0;0;0;0;2018-11-05;0.154;0.0915;1.43e+04;0.308;7.69;1.68;0.553;8.43;0.000588;0.482;4.33;0.000303;3.36;84;50.6;1.65;1.16e+04;17:27:10.765;0.155;
hash 8 iteration 2 probe 4;8.76e+03;1.04;9.17;0;11.3;26.9;0;0;0;0;0;2018-11-05;0.16;0.0954;1.47e+04;0.32;8;1.68;0.592;8.23;0.00056;0.536;3.8;0.000258;3.36;83.9;51.4;1.54;1.15e+04;17:26:44.608;0.185;
hash 8 iteration 14 probe 20;9.81e+03;1.04;9.43;0;10.4;29.1;0;0;0;0;0;2018-11-05;0.154;0.0977;1.55e+04;0.309;7.72;1.58;0.473;13.6;0.000877;0.434;7.66;0.000494;3.16;79;56.4;2.67;1.26e+04;17:29:44.196;0.194;
hash 8 iteration 12 probe 8;8.71e+03;1.04;8.86;0;12.5;28.3;0;0;0;0;0;2018-11-05;0.153;0.0923;1.45e+04;0.306;7.66;1.66;0.542;9.17;0.000634;0.456;4.96;0.000343;3.32;83;51.6;1.85;1.18e+04;17:21:38.668;0.16;
hash 8 iteration 7 probe 8;8.73e+03;1.04;8.89;0;9.72;33.6;0;0;0;0;0;2018-11-05;0.154;0.0925;1.45e+04;0.307;7.68;1.66;0.519;9.24;0.000637;0.463;4.94;0.000341;3.32;83;52.7;1.86;1.18e+04;17:28:11.728;0.16;
hash 8 iteration 7 probe 6;9e+03;1.05;9.23;0;11.1;31;0;0;0;0;0;2018-11-05;0.159;0.0966;1.49e+04;0.319;7.97;1.65;0.584;9.24;0.000622;0.515;4.45;0.0003;3.3;82.5;52.4;1.73;1.17e+04;17:27:07.914;0.195;
hash 8 iteration 12 probe 2;8.57e+03;1.02;9.18;0;10.6;31.5;0;0;0;0;0;2018-11-05;0.159;0.0938;1.46e+04;0.319;7.97;1.7;0.604;7.37;0.000506;0.563;3.2;0.00022;3.4;85;50;1.36;1.14e+04;17:23:11.246;0.183;
hash 6 iteration 14 probe 20;8.98e+03;1.03;8.96;0;10.1;32.9;0;0;0;0;0;2018-11-05;0.15;0.0922;1.46e+04;0.301;7.52;1.63;0.489;10.9;0.000744;0.431;6.16;0.000421;3.26;81.5;53.1;2.19;1.22e+04;17:23:22.768;0.157;
hash 8 iteration 25 probe 2;8.29e+03;1.05;8.72;0;9.78;34.1;0;0;0;0;0;2018-11-05;0.156;0.0913;1.41e+04;0.311;7.78;1.7;0.641;6.63;0.000469;0.534;3.07;0.000217;3.41;85.2;49.3;1.3;1.13e+04;17:26:24.413;0.156;
hash 8 iteration 7 probe 2;8.29e+03;1.03;8.83;0;11.5;30.8;0;0;0;0;0;2018-11-05;0.154;0.0906;1.41e+04;0.308;7.69;1.7;0.616;6.55;0.000465;0.517;3.14;0.000223;3.39;84.8;49;1.31;1.14e+04;17:28:40.498;0.154;
hash 8 iteration 12 probe 6;8.95e+03;1.04;9.24;0;12.8;31.1;0;0;0;0;0;2018-11-05;0.159;0.096;1.48e+04;0.318;7.95;1.66;0.581;9.2;0.00062;0.519;4.4;0.000297;3.31;82.8;52.2;1.7;1.17e+04;17:22:42.159;0.183;
hash 8 iteration 25 probe 16;9.29e+03;1.04;9.03;0;12.3;22.1;0;0;0;0;0;2018-11-05;0.152;0.0943;1.49e+04;0.303;7.59;1.61;0.488;12;0.0008;0.424;6.86;0.000459;3.22;80.4;54.9;2.4;1.23e+04;17:30:47.721;0.167;
hash 8 iteration 12 probe 4;8.4e+03;1.01;8.95;0;10.6;30.5;0;0;0;0;0;2018-11-05;0.153;0.0904;1.42e+04;0.306;7.65;1.69;0.55;7.57;0.000533;0.514;3.65;0.000257;3.38;84.6;49.7;1.46;1.16e+04;17:22:04.895;0.152;
hash 7 iteration 19 probe 20;9.66e+03;1.02;9.6;0;11.9;29.9;0;0;0;0;0;2018-11-05;0.156;0.0983;1.53e+04;0.312;7.8;1.59;0.538;13.1;0.000856;0.438;7.34;0.000479;3.17;79.3;55.2;2.67;1.23e+04;17:24:00.515;0.186;
hash 3 iteration 25 probe 20;8.44e+03;1.05;9;0;10;32.5;0;0;0;0;0;2018-11-05;0.16;0.0942;1.43e+04;0.32;7.99;1.7;0.633;7.45;0.000521;0.551;3.32;0.000232;3.39;84.8;49.6;1.29;1.12e+04;17:25:21.064;0.182;
hash 6 iteration 17 probe 14;8.73e+03;1.04;8.89;0;10.9;33.4;0;0;0;0;0;2018-11-05;0.153;0.0923;1.44e+04;0.305;7.64;1.65;0.552;9.5;0.000658;0.437;5.32;0.000369;3.31;82.7;51.3;1.95;1.18e+04;17:29:41.140;0.163;
hash 8 iteration 17 probe 4;8.78e+03;1.04;9.21;0;13.5;29.9;0;0;0;0;0;2018-11-05;0.159;0.0953;1.47e+04;0.319;7.97;1.67;0.595;8.34;0.000568;0.536;3.85;0.000262;3.34;83.6;51.5;1.54;1.15e+04;17:30:15.788;0.184;
