;ACYC;AFREQ;C0res%;C10res%;C1res%;C2res%;C3res%;C6res%;C7res%;C8res%;C9res%;Date;EXEC;FREQ;INST;INSTnom;INSTnom%;IPC;L2HIT;L2MISS;L2MPI;L3HIT;L3MISS;L3MPI;PhysIPC;PhysIPC%;Proc Energy (Joules);READ;TIME(ticks);Time;WRITE;
hash 6 iteration 12 probe 18;9.81e+03;1.05;9.75;0;11.2;24.9;0;0;0;0;0;2018-11-05;0.179;0.102;1.72e+04;0.359;8.97;1.75;0.517;10.8;0.00063;0.444;6;0.000349;3.5;87.6;56;2.22;1.2e+04;17:20:22.546;0.165;
hash 7 iteration 14 probe 2;8.4e+03;1.03;9.01;0;12.6;35;0;0;0;0;0;2018-11-05;0.159;0.0932;1.44e+04;0.319;7.97;1.71;0.612;7.14;0.000496;0.529;3.33;0.000232;3.42;85.6;48.1;1.44;1.13e+04;17:19:01.025;0.175;
hash 8 iteration 2 probe 18;9.7e+03;1.05;9.34;0;10.2;32.2;0;0;0;0;0;2018-11-05;0.152;0.0978;1.51e+04;0.304;7.6;1.55;0.522;12.6;0.000837;0.419;7.29;0.000483;3.11;77.7;54.9;2.54;1.24e+04;17:26:27.443;0.168;
hash 7 iteration 14 probe 4;8.25e+03;1.03;8.73;0;9.45;32.2;0;0;0;0;0;2018-11-05;0.153;0.0897;1.41e+04;0.307;7.67;1.71;0.614;7.18;0.000509;0.519;3.43;0.000243;3.42;85.5;48.7;1.4;1.15e+04;17:20:37.146;0.154;
hash 7 iteration 14 probe 6;8.83e+03;1.05;9.12;0;10;31.7;0;0;0;0;0;2018-11-05;0.159;0.0956;1.47e+04;0.318;7.96;1.66;0.569;8.64;0.000588;0.519;4.13;0.000281;3.33;83.2;51.2;1.62;1.15e+04;17:20:05.327;0.185;
hash 7 iteration 14 probe 8;9.03e+03;1.04;9.26;0;11.4;30.6;0;0;0;0;0;2018-11-05;0.159;0.0964;1.49e+04;0.318;7.96;1.65;0.535;9.56;0.000642;0.504;4.72;0.000317;3.3;82.5;52.6;1.8;1.17e+04;17:27:28.252;0.19;
hash 8 iteration 2 probe 12;9.08e+03;1.04;9.06;0;10.4;32.1;0;0;0;0;0;2018-11-05;0.154;0.0942;1.48e+04;0.308;7.7;1.64;0.504;10.8;0.000728;0.437;6.04;0.000407;3.27;81.8;53.2;2.19;1.2e+04;17:27:25.385;0.164;
hash 6 iteration 19 probe 12;9.03e+03;1.04;9.21;0;9.77;30.8;0;0;0;0;0;2018-11-05;0.159;0.0962;1.49e+04;0.317;7.93;1.65;0.577;9.92;0.000666;0.497;4.97;0.000333;3.3;82.5;52.6;1.86;1.17e+04;17:27:51.300;0.187;
hash 8 iteration 2 probe 10;8.85e+03;1.03;8.94;0;10.7;33.3;0;0;0;0;0;2018-11-05;0.152;0.0919;1.46e+04;0.304;7.6;1.65;0.528;9.96;0.00068;0.449;5.47;0.000373;3.31;82.7;51.9;2.01;1.2e+04;17:25:38.681;0.157;
hash 6 iteration 19 probe 14;9.14e+03;1.05;9.25;0;12.7;30.8;0;0;0;0;0;2018-11-05;0.159;0.0968;1.5e+04;0.318;7.95;1.64;0.537;10.3;0.000688;0.487;5.27;0.000351;3.29;82.1;53.1;1.96;1.18e+04;17:30:53.621;0.188;
hash 8 iteration 2 probe 16;9.52e+03;1.02;9.39;0;13.7;29.5;0;0;0;0;0;2018-11-05;0.154;0.096;1.53e+04;0.308;7.71;1.61;0.497;12.6;0.000822;0.454;6.84;0.000447;3.21;80.4;55.1;2.42;1.24e+04;17:26:04.599;0.178;
hash 6 iteration 19 probe 16;8.92e+03;1.04;9.01;0;15.6;32;0;0;0;0;0;2018-11-05;0.153;0.0933;1.46e+04;0.306;7.66;1.64;0.511;10.3;0.000706;0.434;5.82;0.000397;3.28;82.1;51.7;2.11;1.19e+04;17:20:25.475;0.169;
hash 6 iteration 12 probe 16;8.93e+03;1.03;9.06;0;10.5;29.6;0;0;0;0;0;2018-11-05;0.153;0.0935;1.46e+04;0.306;7.66;1.64;0.534;10.4;0.000709;0.445;5.68;0.000388;3.28;81.9;53.2;2.06;1.19e+04;17:23:14.155;0.159;
