Percentage,MV,Augmented_MV,Budget,Exec_Time
1,94.77763955442514,0.0,109.347,462.86189317703247
2,94.77763955442514,0.0,192.864,462.83821964263916
3,94.77763955442514,0.0,276.381,462.6966347694397
4,94.77763955442514,0.0,359.898,462.5652904510498
5,94.77763955442514,94.77763955442514,443.415,462.0823256969452
6,94.77763955442514,94.77763955442514,526.932,462.84548830986023
7,94.77763955442514,94.77763955442514,610.449,463.1661846637726
8,94.77763955442514,94.77763955442514,693.966,463.3115448951721
9,94.77763955442514,94.77763955442514,777.483,462.38220477104187
10,94.77763955442514,94.77763955442514,861.0,463.70513105392456
