Percentage,MV,Augmented_MV,Budget,Exec_Time
1,90.02362482773206,90.02362482773206,109.347,46.526771068573
2,90.02362482773206,90.02362482773206,192.864,46.61061882972717
3,90.02362482773206,90.02362482773206,276.381,46.602614402770996
4,90.02362482773206,90.02362482773206,359.898,46.657039165496826
5,90.02362482773206,90.02362482773206,443.415,46.64669609069824
6,90.02362482773206,90.02362482773206,526.932,46.56880211830139
7,90.02362482773206,90.02362482773206,610.449,46.627845764160156
8,90.02362482773206,90.02362482773206,693.966,46.63746452331543
9,90.02362482773206,90.02362482773206,777.483,46.61472964286804
10,90.02362482773206,90.02362482773206,861.0,46.53957152366638
