Percentage,MV,Augmented_MV,Budget,Exec_Time
1,93.09269252109598,93.09269252109598,109.347,57.59607172012329
2,89.07046532805681,89.07046532805681,192.864,121.59786438941956
3,93.01934808123835,93.01934808123835,276.381,238.27036499977112
4,93.01934808123835,93.01934808123835,359.898,237.7899513244629
5,93.01934808123835,93.01934808123835,443.415,238.1238031387329
6,93.01934808123835,93.01934808123835,526.932,237.91652655601501
7,93.01934808123835,93.01934808123835,610.449,237.91509127616882
8,93.01934808123835,93.01934808123835,693.966,238.06852412223816
9,93.01934808123835,93.01934808123835,777.483,237.8500463962555
10,93.01934808123835,93.01934808123835,861.0,238.05890774726868
