Percentage,MV,Augmented_MV,Budget,Exec_Time
1,3.9693306378206854,3.9693306378206854,13.5198,6.848863363265991
2,3.9693306378206854,3.9693306378206854,20.514599999999998,6.841879367828369
3,4.025433208200516,4.025433208200516,27.509400000000003,23.578365802764893
4,4.025433208200516,4.025433208200516,34.5042,23.64877438545227
5,4.025433208200516,4.025433208200516,41.499,23.589349508285522
6,4.043378260041233,4.043378260041233,48.4938,43.69714331626892
7,4.043378260041233,4.043378260041233,55.4886,43.774816274642944
8,4.043378260041233,4.043378260041233,62.4834,43.8385112285614
9,4.043378260041233,4.043378260041233,69.47820000000002,43.88064384460449
10,4.043378260041233,4.043378260041233,76.473,43.72457551956177
