Percentage,MV,Augmented_MV,Budget,Exec_Time
1,3.2564474900191973,0.0,12.895336039066315,18.828235387802124
2,3.2564474900191973,3.2564474900191973,19.928404726982116,5.944288492202759
3,3.2564474900191973,3.2564474900191973,26.96147341489792,5.866177082061768
4,3.2564474900191973,3.2564474900191973,33.99454210281372,5.883279800415039
5,3.2564474900191973,3.2564474900191973,41.027610790729526,5.878361225128174
6,3.2564474900191973,3.2564474900191973,48.060679478645326,5.8946309089660645
7,3.2564474900191973,3.2564474900191973,55.09374816656113,5.883785247802734
8,3.2564474900191973,3.2564474900191973,62.12681685447693,5.882823467254639
9,3.2564474900191973,3.2564474900191973,69.15988554239273,5.878932952880859
10,3.2564474900191973,3.2564474900191973,76.19295423030853,5.8835790157318115
