Percentage,MV,Augmented_MV,Budget,Exec_Time
1,2.9595350857370737,2.9595350857370737,12.895336039066315,5.924695730209351
2,2.9595350857370737,2.9595350857370737,19.928404726982116,5.969204902648926
3,2.9595350857370737,2.9595350857370737,26.96147341489792,5.882983922958374
4,2.9595350857370737,2.9595350857370737,33.99454210281372,5.894481658935547
5,2.9595350857370737,2.9595350857370737,41.027610790729526,5.88520884513855
6,2.9595350857370737,2.9595350857370737,48.060679478645326,5.904383420944214
7,2.9595350857370737,2.9595350857370737,55.09374816656113,5.885455846786499
8,2.9595350857370737,2.9595350857370737,62.12681685447693,5.899497985839844
9,2.9595350857370737,2.9595350857370737,69.15988554239273,5.893510818481445
10,2.9595350857370737,2.9595350857370737,76.19295423030853,5.9118170738220215
