Unit,MV,Augmented_MV,Budget,Exec_Time,OverBudget,RC_TIME,RC_NUM,RC_by_budget,SUCCESS,overhead_pctg
1,4.28948899825283,4.28948899825283,83.4678,59.9308922290802,False,16,1,1,1,0.000266974166492
1,4.28948899825283,4.28948899825283,83.4678,60.0556998252869,False,34,1,1,1,0.00056614110066
2,4.28948899825283,4.28948899825283,83.4678,60.1829764842987,False,112,1,3,1,0.001860991372356
2,4.28948899825283,4.28948899825283,83.4678,60.0408618450165,False,94,1,3,1,0.001565600444621
3,4.28948899825283,4.28948899825283,83.4678,59.9294266700745,False,83,1,3,1,0.001384962356756
3,4.28948899825283,4.28948899825283,83.4678,60.0001623630524,False,102,1,3,1,0.001699995399726
4,4.28948899825283,4.28948899825283,83.4678,60.1459500789642,False,175,1,5,1,0.002909589087382
4,4.28948899825283,4.28948899825283,83.4678,60.2722115516663,False,153,1,5,1,0.002538483258887
5,4.28948899825283,4.28948899825283,83.4678,60.9499270915985,False,192,1,6,1,0.003150126819864
5,4.28948899825283,4.28948899825283,83.4678,60.1985831260681,False,189,1,6,1,0.003139608777904
6,4.28948899825283,4.28948899825283,83.4678,60.287467956543,False,234,1,7,1,0.003881403680259
6,4.28948899825283,4.28948899825283,83.4678,60.210963010788,False,223,1,7,1,0.003703644466873
7,4.28948899825283,4.28948899825283,83.4678,60.2792963981628,False,229,1,7,1,0.003798982630577
7,4.28948899825283,4.28948899825283,83.4678,60.155122756958,False,223,1,7,1,0.003707082452495
8,4.28948899825283,4.28948899825283,83.4678,60.3636538982391,False,263,1,8,1,0.004356926445231
8,4.28948899825283,4.28948899825283,83.4678,60.2131521701813,False,275,1,8,1,0.004567108515142
9,4.28948899825283,4.28948899825283,83.4678,60.431946516037,False,273,1,8,1,0.004517478183953
9,4.28948899825283,4.28948899825283,83.4678,60.4143388271332,False,275,1,8,1,0.004551899521517
10,4.28948899825283,4.28948899825283,83.4678,60.2813527584076,False,311,1,9,1,0.005159141024031
10,4.28948899825283,4.28948899825283,83.4678,60.1841702461243,False,293,1,9,1,0.0048683897909
20,4.28948899825283,4.28948899825283,83.4678,60.5519301891327,False,477,1,14,1,0.007877535835936
20,4.28948899825283,4.28948899825283,83.4678,60.5257487297058,False,478,1,14,1,0.007897465294228
30,4.28948899825283,4.28948899825283,83.4678,60.8981158733368,False,622,1,18,1,0.010213780690584
30,4.28948899825283,4.28948899825283,83.4678,60.5650794506073,False,628,1,18,1,0.010369011412132
