Percentage,MV,Augmented_MV,Budget,Exec_Time
1,2.5767769749395213,2.5767769749395213,12.895336039066315,5.952432632446289
2,2.5767769749395213,2.5767769749395213,19.928404726982116,5.906595468521118
3,2.5774068339839578,2.5774068339839578,26.96147341489792,6.015771389007568
4,2.5774068339839578,2.5774068339839578,33.99454210281372,6.025836229324341
5,2.5774068339839578,2.5774068339839578,41.027610790729526,6.018275737762451
6,2.5774068339839578,2.5774068339839578,48.060679478645326,6.014079332351685
7,2.5774068339839578,2.5774068339839578,55.09374816656113,6.0087244510650635
8,2.5774068339839578,2.5774068339839578,62.12681685447693,6.003370046615601
9,2.5774068339839578,2.5774068339839578,69.15988554239273,6.007691860198975
10,2.5774068339839578,2.5774068339839578,76.19295423030853,6.010964632034302
