Percentage,MV,Augmented_MV,Budget,Exec_Time
1,29.53,29.53,25.84497265815735,25.293010234832764
2,29.34,29.34,26.805042362213136,25.238060474395752
3,29.630000000000003,29.630000000000003,27.76511206626892,26.361955165863037
4,29.630000000000003,29.630000000000003,28.725181770324706,26.28564476966858
5,29.630000000000003,29.630000000000003,29.685251474380493,26.308033227920532
6,29.630000000000003,29.630000000000003,30.64532117843628,26.281288385391235
7,29.630000000000003,29.630000000000003,31.605390882492067,26.262139797210693
8,29.630000000000003,29.630000000000003,32.56546058654785,26.31325936317444
9,29.630000000000003,29.630000000000003,33.52553029060364,26.32722783088684
10,29.630000000000003,29.630000000000003,34.485599994659424,26.33085584640503
