Percentage,MV,Augmented_MV,Budget,Exec_Time
1,36.13,36.13,25.84497265815735,26.350371837615967
2,30.89,30.89,26.805042362213136,25.721120595932007
3,35.480000000000004,35.480000000000004,27.76511206626892,26.317212104797363
4,35.480000000000004,35.480000000000004,28.725181770324706,26.30488920211792
5,35.480000000000004,35.480000000000004,29.685251474380493,26.350592851638794
6,35.480000000000004,35.480000000000004,30.64532117843628,26.29424023628235
7,35.480000000000004,35.480000000000004,31.605390882492067,26.258920192718506
8,35.480000000000004,35.480000000000004,32.56546058654785,26.329124689102173
9,35.480000000000004,35.480000000000004,33.52553029060364,26.362308740615845
10,35.480000000000004,35.480000000000004,34.485599994659424,26.3332359790802
