Configuration,ACYC,AFREQ,EXEC,FREQ,INST,INSTnom,INSTnom%,IPC,L2MISS,L2MPI,L3HIT,L3MISS,L3MPI,PhysIPC,PhysIPC%,READ,TIME(ticks),WRITE,SLOWDOWN
batch-4-learning-78-regular-3,facedetect:eyes-2-pyramid-25-selectivity-2,2278.75,1.06875,0.18275000000000002,0.13525,3081.25,0.36575,9.14625,1.35125,0.6619999999999999,0.000215,0.919875,0.05235000000000001,1.7e-05,2.7012499999999995,67.55,0.032975,2105.0,0.011557499999999998,1.060791185055397
batch-4-learning-78-regular-3,stress:cpu_1_io_0_vm_0_vmbytes_1M,2326.25,1.06875,0.32662500000000005,0.1355,5600.0,0.6532500000000001,16.325,2.40875,0.29912500000000003,5.34375e-05,0.8857499999999999,0.0311875,5.575e-06,4.817499999999999,120.375,0.01633875,2143.75,0.0017042500000000003,1.050915439386523
batch-5-learning-67-regular-5,swaptions:num-400000,2276.25,1.06875,0.350125,0.135,5905.0,0.7004999999999999,17.5125,2.5949999999999998,0.25662500000000005,4.3475e-05,0.91225,0.021162499999999997,3.5825e-06,5.19125,129.875,0.011025,2107.5,0.0012000000000000001,1.0656832509922756
batch-5-learning-67-regular-5,stress:cpu_0_io_3_vm_0_vmbytes_512K,1260.625,0.406125,0.032537500000000004,0.07501250000000001,547.0,0.0651,1.6287500000000001,0.43325,6.2675,0.011462499999999999,0.971,0.0664125,0.00013726249999999998,0.86675,21.662499999999998,0.033825,2100.0,0.00321375,1.05033689185419
batch-5-learning-67-regular-5,ferret:eyes-0-pyramid-18-selectivity-2,2233.75,1.0501250000000002,0.17837499999999998,0.13287500000000002,2997.5,0.35662499999999997,8.91375,1.3425000000000002,0.7129999999999999,0.00024312499999999996,0.928,0.0518,1.78425e-05,2.685,67.11250000000001,0.032175,2100.0,0.010759999999999999,1.0772678743518684
batch-5-learning-67-regular-5,stress:cpu_2_io_1_vm_4_vmbytes_1M,13500.0,1.05,0.8768750000000001,0.8047500000000001,14725.0,1.7562499999999999,43.837500000000006,1.08875,311.125,0.021150000000000002,0.994875,1.67075,0.00011386250000000002,2.1799999999999997,54.474999999999994,0.375375,2100.0,0.20375,1.4835461228405897
batch-5-learning-67-regular-5,facedetect:eyes-2-pyramid-25-selectivity-2,2273.75,1.06875,0.182375,0.135,3070.0,0.364875,9.1175,1.34875,0.652,0.00021275000000000002,0.9235000000000002,0.04958749999999999,1.6197500000000002e-05,2.7,67.4875,0.031349999999999996,2105.0,0.010727500000000001,1.0726648978627773
batch-5-learning-67-regular-5,stress:cpu_1_io_0_vm_0_vmbytes_1M,2228.75,1.0478750000000001,0.31575000000000003,0.13275,5305.0,0.631375,15.7875,2.3800000000000003,0.263375,5.03e-05,0.9105000000000001,0.021500000000000002,4.1249999999999995e-06,4.758749999999999,118.875,0.011123750000000002,2100.0,0.001235375,1.059128239404765
batch-4-learning-23-regular-3,swaptions:num-400000,2313.75,1.07,0.349375,0.13537500000000002,5985.0,0.69925,17.4875,2.58625,0.263,4.395e-05,0.918625,0.01885,3.15e-06,5.17,129.375,0.010060000000000001,2145.0,0.00114625,1.061744785784816
batch-4-learning-23-regular-3,stress:cpu_0_io_3_vm_0_vmbytes_512K,1039.875,0.415625,0.030375000000000003,0.06183749999999999,510.5,0.060725,1.5175,0.50425,4.883750000000001,0.009346249999999999,0.95275,0.0859375,0.00019929999999999997,1.0088749999999997,25.2125,0.041937499999999996,2100.0,0.0036275,1.0633964608602524
batch-4-learning-23-regular-3,ferret:eyes-0-pyramid-18-selectivity-2,2336.25,1.06875,0.1825,0.136625,3118.75,0.365125,9.1275,1.3350000000000002,0.80025,0.000257125,0.9157500000000001,0.065675,2.1125000000000002e-05,2.6699999999999995,66.7625,0.043337499999999994,2140.0,0.013353749999999998,1.0620296883467912
batch-4-learning-23-regular-3,stress:cpu_2_io_1_vm_4_vmbytes_1M,13650.0,1.05,0.8617499999999999,0.80875,14537.5,1.72375,43.074999999999996,1.0662500000000001,374.5,0.0257625,0.9966249999999999,1.26275,8.658750000000001e-05,2.1325000000000003,53.2875,0.21687500000000004,2110.0,0.119775,1.44019267991184
batch-4-learning-23-regular-3,facedetect:eyes-2-pyramid-25-selectivity-2,2346.25,1.0675000000000001,0.18325,0.136875,3141.25,0.3665,9.162500000000001,1.34,0.8856250000000001,0.00028125,0.934875,0.056575,1.8087500000000003e-05,2.68,66.98750000000001,0.0355,2142.5,0.011726250000000002,1.0502457999978094
batch-4-learning-23-regular-3,stress:cpu_1_io_0_vm_0_vmbytes_1M,2316.25,1.06875,0.32650000000000007,0.135625,5585.0,0.653125,16.3,2.4075,0.27137500000000003,4.87875e-05,0.9113749999999998,0.0219125,3.95625e-06,4.8175,120.5,0.01118125,2142.5,0.00135,1.0434403224352347
batch-2-learning-56-regular-5,swaptions:num-400000,2305.0,1.0675000000000001,0.35162499999999997,0.135625,5981.25,0.7032499999999999,17.5875,2.59375,0.319875,5.331249999999999e-05,0.8937499999999999,0.0318125,5.289999999999999e-06,5.1899999999999995,129.5,0.01770375,2126.25,0.00212275,1.0187297682813499
batch-2-learning-56-regular-5,stress:cpu_0_io_3_vm_0_vmbytes_512K,1059.75,0.3765,0.029225,0.0629625,491.5,0.05845,1.4620000000000002,0.470625,5.0575,0.010288750000000003,0.954125,0.075125,0.00021442499999999997,0.9417499999999999,23.537500000000005,0.03874999999999999,2100.0,0.0033675,1.0447933620350387
batch-2-learning-56-regular-5,ferret:eyes-0-pyramid-18-selectivity-2,2368.75,1.0662500000000001,0.18499999999999997,0.1385,3167.5,0.36974999999999997,9.25,1.3375000000000001,0.9235,0.00028700000000000004,0.91325,0.07797500000000002,2.4200000000000002e-05,2.675,66.875,0.0492,2138.75,0.0166225,1.0197081222827244
batch-2-learning-56-regular-5,stress:cpu_2_io_1_vm_4_vmbytes_1M,13812.5,1.05,0.8807499999999999,0.8125,14987.5,1.7624999999999997,44.0375,1.0825,256.125,0.017125,1.0,0.023862500000000002,1.5942500000000002e-06,2.1675,54.2,0.014246249999999998,2123.75,0.00296125,1.417703210435528
batch-2-learning-56-regular-5,facedetect:eyes-2-pyramid-25-selectivity-2,2276.25,1.06875,0.18225,0.135,3070.0,0.364625,9.11,1.35,0.6865,0.00022387499999999998,0.926625,0.04997499999999999,1.633875e-05,2.69625,67.425,0.0305875,2105.0,0.0104475,1.0187563891472382
batch-2-learning-56-regular-5,stress:cpu_1_io_0_vm_0_vmbytes_1M,2315.0,1.06875,0.324125,0.135,5553.75,0.6481250000000001,16.2125,2.4,0.258,4.6437500000000004e-05,0.934,0.014875,2.67875e-06,4.797499999999999,119.75,0.00768375,2147.5,0.0008827500000000001,1.0212869329657968
batch-4-learning-1-regular-4,swaptions:num-400000,2323.75,1.06875,0.3526250000000001,0.1355,6045.0,0.7053750000000001,17.637500000000003,2.6,0.2965,4.91e-05,0.902,0.026162499999999998,4.3275000000000005e-06,5.20125,130.0,0.014329999999999999,2147.5,0.0019246250000000001,1.0860998491746796
batch-4-learning-1-regular-4,stress:cpu_0_io_3_vm_0_vmbytes_512K,1115.0,0.38012500000000005,0.0315425,0.066375,530.625,0.0631375,1.5783749999999999,0.47387499999999994,5.2675,0.0101825,0.955,0.0732875,0.0002275125,0.947,23.6875,0.038849999999999996,2100.0,0.0034362499999999996,1.0465331401526203
batch-4-learning-1-regular-4,ferret:eyes-0-pyramid-18-selectivity-2,2282.5,1.06875,0.18162499999999998,0.135625,3061.25,0.363375,9.0825,1.33875,0.679875,0.000222375,0.911625,0.0585875,1.9162499999999998e-05,2.6825,67.01250000000002,0.036687500000000005,2105.0,0.012061249999999999,1.083020650491109
batch-4-learning-1-regular-4,stress:cpu_2_io_1_vm_4_vmbytes_1M,13650.0,1.05,0.877375,0.810125,14787.5,1.75375,43.875,1.0862500000000002,383.25,0.0258875,0.997375,1.044625,7.05375e-05,2.16625,54.162499999999994,0.17149999999999999,2107.5,0.1270875,1.4587201610586664
batch-4-learning-1-regular-4,facedetect:eyes-2-pyramid-25-selectivity-2,2315.0,1.06875,0.182375,0.135625,3113.75,0.365125,9.12625,1.3475,0.702,0.00022600000000000002,0.925625,0.052474999999999994,1.6937500000000002e-05,2.69125,67.3,0.0353875,2138.75,0.011652499999999998,1.0428573568655055
batch-4-learning-1-regular-4,stress:cpu_1_io_0_vm_0_vmbytes_1M,2283.75,1.06875,0.32575000000000004,0.136125,5475.0,0.651625,16.299999999999997,2.3975,0.272875,4.9800000000000004e-05,0.9068750000000001,0.022987500000000004,4.2025e-06,4.795,119.875,0.012911249999999999,2100.0,0.0014815000000000002,1.0427436093134135
